"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","VeghiclePrice","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year"
"12","5","3","7","1","2","1","1","1","1","21","1","690","1","12","300","1","31","31","0","3","28","2","2","1","0","1","3","1994"
"1","3","3","7","1","1","1","4","2","1","34","1","690","2","15","400","4","31","31","0","6","33","1","2","1","0","0","1","1994"
"10","5","5","7","1","4","11","2","2","2","47","1","690","3","7","400","3","31","31","1","7","45","2","2","1","0","0","1","1994"
"6","2","6","18","2","5","7","1","2","2","65","2","245","4","4","400","2","31","31","1","8","58","1","2","1","6","0","1","1994"
"1","5","1","7","1","2","2","2","1","1","27","2","690","5","3","400","1","31","31","0","5","33","2","2","1","0","0","1","1994"
"10","4","5","7","1","3","11","1","2","1","20","2","690","6","12","400","3","31","31","0","5","23","2","2","1","3","0","1","1994"
"2","1","6","7","1","1","2","3","2","2","36","2","690","7","14","400","1","31","31","1","7","38","2","2","1","1","0","1","1994"
"11","1","5","7","1","2","3","4","2","1","0","1","690","8","1","400","4","31","31","1","0","16","2","2","1","0","0","1","1994"
"12","4","6","7","1","3","12","5","2","1","30","1","690","9","7","400","4","31","31","0","6","33","2","1","1","3","0","1","1994"
"4","3","2","6","1","3","4","3","2","2","42","1","690","10","7","400","1","31","31","2","8","38","2","2","1","3","0","1","1994"
"3","2","7","10","1","3","3","3","2","1","71","1","690","11","7","400","3","31","31","0","8","66","2","2","1","0","0","1","1994"
"3","5","1","7","1","1","3","5","2","2","52","1","245","12","13","400","1","31","31","2","8","45","2","2","1","0","0","1","1994"
"1","3","5","6","1","5","1","3","2","2","28","1","690","13","11","400","1","31","31","1","7","33","2","2","1","0","0","1","1994"
"1","5","5","7","2","3","2","1","2","1","0","2","690","14","12","400","3","31","31","0","0","16","2","2","1","0","0","1","1994"
"1","5","1","6","1","4","2","1","2","2","61","1","690","15","3","400","1","31","31","0","8","58","2","2","1","0","0","1","1994"
"8","4","2","6","1","1","8","5","2","1","38","1","690","16","16","400","1","31","31","0","6","38","2","2","1","0","0","1","1994"
"4","4","4","6","1","3","5","1","2","2","41","1","690","17","15","400","4","31","31","0","7","38","2","2","1","0","0","1","1994"
"7","5","7","3","1","3","8","1","1","2","28","2","245","18","6","400","1","31","31","0","7","33","2","2","1","1","0","1","1994"
"5","4","4","14","1","1","5","5","2","1","32","1","245","19","6","400","1","31","31","1","7","33","2","2","1","0","0","1","1994"
"4","4","1","7","1","2","5","1","2","2","30","2","690","20","2","400","2","31","31","2","6","33","2","2","1","6","0","1","1994"
"4","2","5","10","1","2","5","1","2","2","40","1","245","21","3","400","1","31","31","1","8","38","2","2","1","6","0","1","1994"
"1","2","6","3","1","1","1","2","2","2","47","1","245","22","13","400","2","31","31","1","8","45","2","2","1","0","6","2","1994"
"8","3","7","10","1","4","8","5","2","2","63","1","245","23","8","400","3","31","31","1","8","58","2","2","1","1","0","1","1994"
"6","3","6","14","1","2","6","3","2","1","31","2","345","24","5","400","3","31","31","0","6","33","2","2","1","3","0","1","1994"
"9","3","5","10","1","5","9","3","2","2","45","1","690","25","12","400","3","31","31","5","8","38","1","2","1","0","0","1","1994"
"3","3","1","14","1","2","4","1","2","2","60","1","245","26","16","400","4","31","31","5","8","58","2","2","1","0","0","1","1994"
"3","3","4","7","1","4","6","4","2","2","21","1","345","27","1","400","2","31","31","5","5","28","2","2","1","6","0","1","1994"
"5","3","7","1","1","5","5","4","2","2","42","1","345","28","1","400","3","31","31","2","7","38","2","2","1","1","0","1","1994"
"7","1","6","7","1","2","9","4","2","1","0","1","690","29","9","400","1","31","31","0","0","16","2","2","1","0","0","1","1994"
"5","3","1","10","1","3","5","4","1","2","39","1","245","30","12","400","3","31","31","0","7","38","2","2","1","0","0","1","1994"
"3","2","5","4","1","6","3","2","2","2","47","1","345","31","2","400","1","31","31","2","8","45","2","2","2","0","0","1","1994"
"3","1","7","7","1","2","3","2","2","1","0","1","690","32","6","400","1","31","31","1","0","16","2","2","1","0","0","1","1994"
"3","2","3","3","1","3","3","2","2","1","42","1","245","33","2","400","3","31","31","5","7","38","2","2","1","3","0","1","1994"
"1","4","1","7","1","2","1","4","2","1","30","2","245","34","2","400","4","31","31","0","6","33","2","2","1","1","0","1","1994"
"1","4","2","6","1","3","1","4","2","2","42","1","690","35","12","400","1","31","31","2","7","38","2","2","1","0","0","1","1994"
"10","2","3","3","1","4","10","2","2","1","34","2","245","36","5","400","3","31","31","2","7","33","2","2","1","6","0","1","1994"
"10","2","2","7","1","4","10","3","2","2","30","2","245","37","11","400","4","31","31","0","6","33","2","2","1","6","0","1","1994"
"9","2","5","10","1","5","9","3","2","1","27","1","345","38","4","400","2","31","31","0","7","33","2","2","1","6","0","1","1994"
"11","4","2","7","1","4","11","4","2","2","55","1","690","39","12","400","1","31","31","0","8","45","2","2","1","0","0","1","1994"
"11","4","4","18","1","2","1","1","2","2","35","1","245","40","1","400","3","31","31","0","7","33","2","2","1","1","0","1","1994"
"3","4","3","3","1","3","4","1","1","2","35","1","245","41","11","400","1","31","31","2","6","33","2","2","1","6","0","1","1994"
"3","3","5","14","1","3","3","4","2","2","44","1","245","42","15","400","1","31","31","2","7","38","2","2","1","3","0","3","1994"
"7","1","1","18","1","1","7","1","1","1","42","1","245","43","12","400","4","31","31","0","4","38","2","2","1","0","6","2","1994"
"1","3","2","7","1","1","1","4","2","2","41","1","245","44","5","400","2","31","31","2","7","38","2","2","1","1","0","1","1994"
"1","3","3","18","1","3","1","4","2","2","72","2","245","45","16","400","1","31","31","0","8","66","2","2","1","0","0","1","1994"
"2","2","3","14","1","4","2","2","1","2","29","2","199","46","8","400","3","31","31","2","5","33","2","2","1","0","0","1","1994"
"2","2","4","14","1","1","2","3","2","1","32","2","345","47","9","400","4","31","31","0","6","33","2","2","2","0","0","1","1994"
"11","4","4","10","1","5","11","4","2","2","37","1","345","48","13","400","3","31","31","2","5","38","2","2","1","6","0","1","1994"
"4","3","4","3","1","4","5","1","1","2","37","1","690","49","10","400","1","31","31","2","6","38","2","2","1","3","0","1","1994"
"4","3","5","14","1","2","4","3","2","2","59","1","245","50","9","400","4","31","31","5","8","58","2","2","1","3","0","1","1994"
"5","4","5","14","1","5","5","4","2","2","49","1","345","51","14","400","2","31","31","5","8","45","2","2","1","0","0","1","1994"
"6","4","3","14","1","5","6","4","2","2","27","1","245","52","4","500","3","31","31","2","6","33","2","2","1","3","2","1","1994"
"7","3","7","7","2","3","1","4","2","2","21","1","690","53","4","400","4","31","31","0","4","28","2","2","1","3","0","1","1994"
"7","4","6","7","1","3","8","2","2","2","50","1","245","54","13","400","1","31","31","0","8","45","2","2","1","3","0","1","1994"
"6","4","2","14","1","2","6","4","2","1","45","1","345","55","8","400","1","31","31","1","7","38","2","2","1","1","0","1","1994"
"12","3","1","10","1","3","12","3","2","2","49","2","245","56","7","400","4","31","31","0","8","45","2","2","1","3","0","1","1994"
"6","4","5","7","1","4","6","5","2","1","30","1","245","57","5","400","4","31","31","2","6","33","2","2","1","0","0","1","1994"
"11","2","5","1","1","1","11","2","2","1","37","1","690","58","11","400","3","31","31","2","7","38","2","2","1","0","0","1","1994"
"5","1","1","7","2","3","5","4","2","1","0","1","690","59","15","400","4","31","31","0","0","16","2","2","1","0","0","1","1994"
"5","1","3","3","1","1","5","2","1","1","27","1","245","60","4","400","4","31","31","0","6","33","2","2","1","1","0","1","1994"
"11","1","1","18","1","1","11","3","2","1","30","1","345","61","5","400","4","31","31","0","5","33","2","2","1","0","0","1","1994"
"9","2","2","14","1","5","1","4","2","2","49","1","495","62","6","400","4","31","31","0","8","45","2","2","1","0","0","1","1994"
"11","4","7","7","1","5","1","3","2","1","0","2","690","63","3","400","2","31","31","2","0","16","2","2","1","0","0","1","1994"
"2","5","1","18","1","2","3","1","2","2","26","1","245","64","13","400","3","31","31","2","7","33","2","2","1","6","6","2","1994"
"12","1","5","14","1","2","12","2","2","1","48","1","245","65","1","400","1","31","31","0","7","45","2","2","1","0","0","1","1994"
"12","4","5","10","1","1","1","2","2","1","31","1","245","66","6","400","3","31","31","0","7","33","2","2","1","0","0","1","1994"
"3","3","5","12","1","5","3","3","2","1","40","2","690","67","16","400","2","31","31","1","7","38","2","2","1","6","0","1","1994"
"8","4","4","10","1","1","8","5","2","2","65","1","345","68","12","400","1","31","31","2","8","58","2","2","1","6","0","1","1994"
"1","1","7","18","1","2","1","1","2","2","64","1","245","69","5","400","1","31","31","1","8","58","2","2","1","0","0","1","1994"
"1","1","7","7","1","3","1","1","2","2","55","1","245","70","12","400","2","31","31","2","7","45","2","2","1","6","0","1","1994"
"1","1","7","7","1","3","1","1","2","1","44","1","245","71","16","400","1","31","31","2","7","38","2","2","1","3","0","1","1994"
"1","1","2","10","1","4","1","1","2","2","27","1","245","72","9","400","3","31","31","1","6","33","2","2","1","1","0","1","1994"
"9","4","4","3","1","1","1","5","1","1","28","2","245","73","5","400","3","23","31","1","5","33","2","2","1","0","0","1","1994"
"1","1","1","7","1","2","1","1","2","2","47","2","245","74","7","400","2","31","31","1","8","45","2","2","1","6","0","1","1994"
"4","5","6","10","1","2","5","1","2","2","60","2","690","75","12","400","3","31","31","5","7","58","2","2","1","6","0","1","1994"
"8","1","6","6","1","3","8","4","2","2","33","2","345","76","9","400","4","31","31","5","6","33","2","2","1","0","0","1","1994"
"10","4","2","3","1","1","1","1","2","2","27","2","245","77","1","400","3","31","31","0","6","33","2","2","1","0","0","1","1994"
"2","2","5","7","1","2","2","3","1","2","47","2","690","78","12","400","3","31","31","0","8","45","2","2","1","0","0","1","1994"
"2","2","5","8","2","2","2","3","1","1","29","1","345","79","16","400","1","31","31","2","5","33","2","2","1","3","0","1","1994"
"2","4","6","18","1","5","3","1","1","2","33","2","345","80","10","400","1","31","31","2","7","33","2","2","1","6","0","1","1994"
"1","3","3","14","1","3","1","3","2","2","38","1","245","81","13","400","4","31","31","2","6","38","2","2","1","0","0","1","1994"
"1","3","4","10","1","5","1","4","2","1","37","2","245","82","6","400","2","31","31","1","7","38","2","2","1","0","0","1","1994"
"12","2","5","3","1","4","4","3","2","2","36","2","690","83","13","400","4","31","31","0","7","38","2","2","1","0","0","3","1994"
"11","5","2","18","1","5","2","1","1","2","44","1","245","84","9","400","4","31","31","0","6","38","2","2","1","1","0","1","1994"
"12","1","3","7","1","1","1","1","2","1","0","1","690","85","6","400","2","31","31","5","0","16","2","2","1","0","6","2","1994"
"12","2","2","3","2","2","3","1","2","2","27","1","690","86","4","400","4","31","31","1","6","33","2","2","1","6","0","1","1994"
"5","4","2","18","1","3","5","4","2","1","27","1","245","87","14","400","3","31","31","1","6","33","2","2","1","6","0","1","1994"
"5","4","7","10","1","3","5","4","2","1","39","2","245","88","1","400","2","31","31","2","4","38","2","2","1","6","0","1","1994"
"10","5","6","14","1","1","10","5","2","2","74","2","345","89","13","400","4","31","31","0","7","66","2","2","1","3","0","1","1994"
"10","4","7","7","1","1","10","4","2","1","23","1","245","90","8","400","2","31","31","2","4","28","2","2","1","0","0","1","1994"
"10","4","7","7","1","2","10","4","1","1","25","2","690","91","2","400","1","31","31","0","6","28","2","2","1","6","0","1","1994"
"1","2","3","14","1","3","1","2","2","1","38","1","245","92","13","400","2","31","31","5","7","38","2","2","1","3","1","1","1994"
"1","2","4","7","1","1","1","4","2","2","41","1","345","93","16","400","1","31","31","2","7","38","2","2","1","0","0","1","1994"
"8","4","6","14","1","1","8","5","2","2","38","1","245","94","13","700","3","31","31","2","7","38","2","2","1","6","0","1","1994"
"11","2","4","7","1","5","1","3","2","1","34","1","690","95","7","400","3","31","31","0","7","33","2","2","1","3","0","1","1994"
"5","2","2","7","1","4","5","2","2","2","61","2","345","96","15","400","4","31","31","0","8","58","2","2","1","6","0","1","1994"
"11","2","5","18","1","2","1","1","2","2","38","1","245","97","7","400","2","31","31","1","7","38","2","2","1","0","0","1","1994"
"1","3","4","18","1","1","1","4","2","1","40","1","199","98","4","400","4","31","31","1","7","38","2","2","1","0","0","1","1994"
"11","3","1","14","1","3","1","4","2","2","41","2","245","99","12","400","4","31","31","2","7","38","2","2","1","0","0","1","1994"
"1","4","5","14","1","1","1","5","2","2","36","1","245","100","10","400","1","31","31","1","7","38","2","2","1","0","0","1","1994"
"11","3","2","3","1","3","1","2","2","2","31","1","690","101","2","400","1","31","31","5","7","33","2","2","1","6","0","1","1994"
"1","5","6","14","1","1","1","5","1","2","35","2","245","102","10","400","4","31","31","1","6","33","2","2","1","0","0","1","1994"
"1","4","5","6","1","1","2","1","1","2","37","1","690","103","14","500","2","31","31","2","6","38","1","2","1","3","0","1","1994"
"1","1","4","10","1","2","1","2","2","2","55","1","245","104","14","400","3","31","31","0","8","45","2","2","1","6","0","1","1994"
"1","1","2","14","1","4","1","1","2","1","31","2","245","105","12","400","4","31","31","2","7","33","2","2","1","1","0","1","1994"
"12","3","5","4","1","6","12","3","2","2","28","1","690","106","5","400","1","31","31","0","7","33","2","2","1","1","6","2","1994"
"8","1","1","10","1","4","8","1","2","2","28","1","245","107","11","400","2","31","31","2","7","33","2","2","1","0","0","1","1994"
"11","4","7","14","1","4","4","2","2","2","44","2","245","108","11","400","1","31","31","0","7","38","2","2","1","0","0","1","1994"
"6","1","4","3","1","4","10","4","2","2","47","1","245","109","1","400","1","31","31","1","8","45","2","2","1","0","0","1","1994"
"3","1","4","7","1","5","3","1","2","2","40","1","245","110","16","400","4","31","31","0","6","38","2","2","1","0","0","1","1994"
"5","2","2","18","1","5","9","1","2","1","23","1","245","111","4","400","2","31","31","2","5","28","2","2","1","0","0","1","1994"
