Month,WeekOfMonth,DayOfWeek,Make_Honda,Make_Toyota,Make_Ford,Make_Mazda,Make_Chevrolet,Make_Pontiac,Make_Accura,Make_Dodge,Make_Mercury,Make_Jaguar,Make_Nisson,Make_VW,Make_Saab,Make_Saturn,Make_Porche,Make_BMW,Make_Mecedes,Make_Ferrari,Make_Lexus,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus_Single,MaritalStatus_Married,MaritalStatus_Widow,MaritalStatus_Divorced,Age,Fault,PolicyType_Sport - Liability,PolicyType_Sport - Collision,PolicyType_Sedan - Liability,PolicyType_Utility - All Perils,PolicyType_Sedan - All Perils,PolicyType_Sedan - Collision,PolicyType_Utility - Collision,PolicyType_Utility - Liability,PolicyType_Sport - All Perils,VehicleCategory_Sport,VehicleCategory_Utility,VehicleCategory_Sedan,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy_Liability,BasePolicy_Collision,BasePolicy_All Perils
12,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,21,1,1,0,0,0,0,0,0,0,0,1,0,0,69001,1,12,300,1,31,31,0,3,28,0,0,1,0,1,3.5,1994,1,0,0
1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,0,0,34,1,0,1,0,0,0,0,0,0,0,1,0,0,69001,2,15,400,4,31,31,0,6,33,1,0,1,0,0,1,1994,0,1,0
10,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,2,0,0,1,0,0,47,1,0,1,0,0,0,0,0,0,0,1,0,0,69001,3,7,400,3,31,31,1,7,45.5,0,0,1,0,0,1,1994,0,1,0
6,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,1,0,0,65,0,0,0,1,0,0,0,0,0,0,1,0,0,24500,4,4,400,2,31,31,1,8,58,1,0,1,6,0,1,1994,1,0,0
1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,27,0,0,1,0,0,0,0,0,0,0,1,0,0,69001,5,3,400,1,31,31,0,5,33,0,0,1,0,0,1,1994,0,1,0
10,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,0,1,0,0,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,69001,6,12,400,3,31,31,0,5,23,0,0,1,3,0,1,1994,0,1,0
2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,0,36,0,0,1,0,0,0,0,0,0,0,1,0,0,69001,7,14,400,1,31,31,1,7,38,0,0,1,1,0,1,1994,0,1,0
11,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,0,0,0,16.5,1,0,1,0,0,0,0,0,0,0,1,0,0,69001,8,1,400,4,31,31,1,0,16.5,0,0,1,0,0,1,1994,0,1,0
12,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,5,0,1,0,0,0,30,1,0,1,0,0,0,0,0,0,0,1,0,0,69001,9,7,400,4,31,31,0,6,33,0,1,1,3,0,1,1994,0,1,0
4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,0,1,0,0,42,1,0,0,0,1,0,0,0,0,0,0,1,0,69001,10,7,400,1,31,31,2,8,38,0,0,1,3,0,1,1994,0,0,1
3,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,0,0,71,1,0,0,0,0,1,0,0,0,0,0,0,1,69001,11,7,400,3,31,31,0,8,66,0,0,1,0,0,1,1994,0,0,1
3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,1,0,0,52,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,12,13,400,1,31,31,2,8,45.5,0,0,1,0,0,1,1994,1,0,0
1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,1,0,0,28,1,0,0,1,0,0,0,0,0,0,1,0,0,69001,13,11,400,1,31,31,1,7,33,0,0,1,0,0,1,1994,1,0,0
1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,16.5,0,0,0,0,0,0,1,0,0,0,0,0,1,69001,14,12,400,3,31,31,0,0,16.5,0,0,1,0,0,1,1994,0,1,0
1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1,0,0,61,1,0,0,1,0,0,0,0,0,0,1,0,0,69001,15,3,400,1,31,31,0,8,58,0,0,1,0,0,1,1994,1,0,0
8,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,0,1,0,0,0,38,1,0,0,1,0,0,0,0,0,0,1,0,0,69001,16,16,400,1,31,31,0,6,38,0,0,1,0,0,1,1994,1,0,0
4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,1,0,0,1,0,0,41,1,0,0,0,0,1,0,0,0,0,0,0,1,69001,17,15,400,4,31,31,0,7,38,0,0,1,0,0,1,1994,0,0,1
7,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,1,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,1,24500,18,6,400,1,31,31,0,7,33,0,0,1,1,0,1,1994,0,1,0
5,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,1,0,0,0,32,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,19,6,400,1,31,31,1,7,33,0,0,1,0,0,1,1994,1,0,0
4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,69001,20,2,400,2,31,31,2,6,33,0,0,1,6,0,1,1994,1,0,0
4,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,1,0,0,40,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,21,3,400,1,31,31,1,8,38,0,0,1,6,0,1,1994,1,0,0
1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,47,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,22,13,400,2,31,31,1,8,45.5,0,0,1,0,6,2,1994,0,1,0
8,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,5,0,0,1,0,0,63,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,23,8,400,3,31,31,1,8,58,0,0,1,1,0,1,1994,1,0,0
6,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,3,0,1,0,0,0,31,0,0,0,1,0,0,0,0,0,0,1,0,0,34500,24,5,400,3,31,31,0,6,33,0,0,1,3,0,1,1994,1,0,0
9,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,3,0,0,1,0,0,45,1,0,0,0,0,1,0,0,0,0,0,0,1,69001,25,12,400,3,31,31,5,8,38,1,0,1,0,0,1,1994,0,0,1
3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,1,0,0,60,1,0,0,1,0,0,0,0,0,0,1,0,0,24500,26,16,400,4,31,31,5,8,58,0,0,1,0,0,1,1994,1,0,0
3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,0,0,1,0,0,21,1,0,0,0,0,0,1,0,0,0,0,0,1,34500,27,1,400,2,31,31,5,5,28,0,0,1,6,0,1,1994,0,1,0
5,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,1,0,0,42,1,0,0,0,0,1,0,0,0,0,0,0,1,34500,28,1,400,3,31,31,2,7,38,0,0,1,1,0,1,1994,0,0,1
7,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,4,0,1,0,0,0,16.5,1,0,0,0,0,1,0,0,0,0,0,0,1,69001,29,9,400,1,31,31,0,0,16.5,0,0,1,0,0,1,1994,0,0,1
5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,1,0,1,0,0,39,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,30,12,400,3,31,31,0,7,38,0,0,1,0,0,1,1994,0,1,0
3,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2,0,0,1,0,0,47,1,0,0,0,0,0,1,0,0,0,0,0,1,34500,31,2,400,1,31,31,2,8,45.5,0,0,0,0,0,1,1994,0,1,0
3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,1,0,0,0,16.5,1,0,0,0,0,0,1,0,0,0,0,0,1,69001,32,6,400,1,31,31,1,0,16.5,0,0,1,0,0,1,1994,0,1,0
3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,1,0,0,0,42,1,0,0,0,0,0,1,0,0,0,0,0,1,24500,33,2,400,3,31,31,5,7,38,0,0,1,3,0,1,1994,0,1,0
1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,1,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,1,24500,34,2,400,4,31,31,0,6,33,0,0,1,1,0,1,1994,0,1,0
